,titolo,durata,views,n_comments,n_like,genere,subscribers,publ,max_quality,timedelta,score,class
0,Kinect Sports - Tennis da tavolo Gameplay - Everyeye.it,340,13328,12,11, Gaming,110000,2010-11-11,4,0.2982051704264779,0.2181956303153013,2
1,Pro Skaters at Morrison Hill,210,5664,13,46, Sports,317,2009-07-20,4,0.2193314671496789,0.1673079066220873,1
2,Yiruma-Shining Smile,205,11269,69,46, Music,431,2007-11-03,4,0.1164169273835007,0.0936941693096926,1
3,Guitarras de America (Portafolio),294,3823,6,7, Music,435,2009-07-15,3,0.2185081508315494,0.137808507310715,1
4,Review of Microsoft Band as a fitness watch,216,5464,4,32, Science & Technology,20200,2014-11-06,6,0.5379548822657665,0.3975587572021085,2
5,Black Sabbath - Iron Man @ Hyde Park 04.07.14,399,1639,1,10, Music,961,2014-07-05,6,0.5175366375761568,0.309697646005216,2
6,NotBad - Intro Scene (One-shot @ 600fps),123,6573,6,111, Sports,20800,2015-01-07,6,0.5481640046105714,0.452192467284131,3
7,CVPS Cow Power - Renewable energy one cow at a time.,447,6997,0,29, Science & Technology,15,2009-12-22,3,0.2448542730116911,0.1832244135181371,1
8,Derrick Rose - Englewood @AintUSpenzo (720 HD),275,3085,4,17, Sports,47,2013-10-23,5,0.475547505351556,0.3172378304160775,2
9,maxwort spoorthi,275,1527,0,1, People & Blogs,0,2013-02-19,3,0.4350403424995883,0.2131641037872476,2
10,Dancing Fountain at Paseo Del Mar Zamboanga,161,2683,0,6, People & Blogs,0,2012-03-18,4,0.3793841593940392,0.2279728912891022,2
11,Bruno Caboclo Full Summer League Highlights - All Games  - Todos os jogos na Liga de Verão,259,25048,6,62, Sports,738,2014-07-17,4,0.5195125967396674,0.4527450322906832,3
12,Cup 166 - Pottery Wheel Thrown Mug - Getting Larger Every Day,302,1518,2,8, Howto & Style,15000,2011-06-20,5,0.3345957516877984,0.1945575221804467,1
13,Metroid Prime - Phendrana Drift,231,1463,0,7, Music,411,2008-08-25,4,0.1651572534167627,0.0944740132908484,1
14,GB Live commentary COD4 #20,335,3353,30,147, Entertainment,10500,2011-02-09,5,0.3130248641528075,0.2506822941682323,2
15,Ashley Tisdale - Crank It Up (Official Music Video) HQ,181,95694,0,152, Music,85,2009-10-05,0,0.232010538448872,0.2337528454749973,2
16,Qual o melhor tipo de ônibus para essa curva?²,250,939712,610,6052, Autos & Vehicles,2030,2013-12-14,4,0.4841099950601021,0.6639996705849681,4
17,BREAKING NEWS -- MAJOR FLARING  -- 10 May 2013,140,2827,46,45, Science & Technology,8920,2013-05-09,5,0.4480487403260332,0.322174502421064,2
18,Botwinka -lekka wiosenna zupa :: Skutecznie.Tv [HD],333,471132,97,3228, Howto & Style,554000,2014-05-09,6,0.5081508315494813,0.6560515584123268,4
19,Chorus of the Hebrew Slaves (English) from NABUCCO  ft Trinidad All Stars Steel Orchestra (1994),291,37238,7,89, Music,1090,2009-06-14,3,0.213403589659147,0.1957922727812696,1
20,garbage musique plus 1998 (only happy when it rains) part 7,267,2076,2,26, Music,215,2008-05-05,4,0.1467149678906636,0.0979574063276877,1
21,Самолёт А-321 вылетает из барнаульского аэропорта,235,19609,6,78, Film & Animation,1140,2013-07-17,5,0.4594105055162193,0.3998484724890211,2
22,真柏盆栽D近2年第三次纏線,302,16554,0,12, People & Blogs,55,2014-11-15,5,0.5394368516383995,0.4044806575966722,3
23,pétrir une pâte,207,24334,1,27, Autos & Vehicles,22,2013-01-03,3,0.4273011691091717,0.3504707664745124,2
24,"ALPHA BABA "" Rien Que Pour Toi "" KIZOMBA ( Album ""Inovation"" de SEKOUBA BAMBINO ) CLIP OFFICIEL",230,90232,3,452, Entertainment,4450,2012-11-09,6,0.4182446896097481,0.4476065311637757,3
25,Batman Forever: HBO First Look Part 2,422,49034,65,186, Entertainment,108,2009-02-09,3,0.1928206817059114,0.1887586463630108,1
26,"U2 360 Tour ""Sunday Bloody Sunday"" HD Live from Raymond James Stadium in Tampa  Fl Oct 9 2009",251,2135,1,5, Music,2380,2009-10-10,5,0.2328338547670014,0.1344704859141452,1
27,News: Lego Galaxy Squad Pictures Full Set Exclusive,266,3626,10,19, Entertainment,12000,2012-11-21,5,0.4202206487732587,0.2871789772805138,2
28,Mr. Majestic studio performance feel trapped n so high,178,2856,9,97, Entertainment,538,2012-12-29,6,0.4264778527910423,0.3266259485588563,2
29,World Championships WorldCDF - Martine,256,1083,0,2, Entertainment,94,2011-01-09,4,0.307920302980405,0.1520407348628486,1
30,SUPAFANTASY ❤  - MISS RIGHT [5to Festival de K-Pop en Chile (NCC)| 130818],245,2635,5,42, Entertainment,502,2013-08-17,5,0.4645150666886217,0.3301068409797806,2
31,Recuerdos de Mi Infancia - Pista para Flauta de pico soprano (Flauta Dulce),122,73215,19,486, Music,2340,2012-03-14,3,0.3787255063395356,0.4021536690768963,3
32,Entries for TheKawaiiCrafting Homemade Squishy Contest ♡,215,6980,36,148, Howto & Style,17300,2014-03-04,6,0.4972830561501729,0.4207118664069764,3
33,Freebird (Acoustic): Mandolin/Recorder Solo,445,3244,4,27, Music,0,2012-06-26,6,0.3958504857566277,0.2759667173895321,2
34,Burg Hohenzollern,146,56215,16,236, Travel & Events,1370,2012-04-21,5,0.3849827103573193,0.3856557630822922,2
35,Flavio Gomes - Lada #69,403,7222,5,17, Sports,32,2009-04-10,3,0.2027004775234645,0.1457496864602337,1
36,Empório Mix da Beleza - HAIR ESCOVA ALEMÃ,201,2607,0,4, Howto & Style,334,2011-05-06,4,0.3271859048246336,0.1893102910619752,1
37,Fusión... Capirotada blanca... Parte 3,451,2042,1,11, Howto & Style,19400,2012-04-19,4,0.3846533838300675,0.2373868548240443,2
38,Pink Spotted Goby with Tiger Pistol Shrimp,204,2085,0,6, Pets & Animals,0,2011-02-11,4,0.3133541906800592,0.1834702250711127,1
39,PS3 bricked_NAND SPANSION S29GL128P90TFIR2.mp4,126,2737,1,1, People & Blogs,0,2011-02-08,3,0.3128602008891816,0.1644459214254338,1
40,MONOS MOY TIN PALEPSA  VALADIS OFFICIAL VIDEO CLIP_dnxhd_titles_filler_MP4 480p (16x9).mp4,251,20375,7,110, Music,527,2010-12-16,6,0.3039683846533838,0.2715829190809529,2
41,Stord Parkour  Norway,232,7989,12,39, Sports,214,2012-05-28,4,0.391075251111477,0.3026776987202192,2
42,ZONED IN | Halo Zone Community Montage | 10k Subs Thank You,318,3685,53,76, Gaming,23400,2014-06-01,5,0.5119380866128767,0.3925050969970247,2
43,[HD/HQ Music Video] Rainbow - Gossip Girl,192,23672,15,74, Music,6760,2009-11-15,5,0.2387617322575333,0.2097944094139206,2
44,Roachee Trim Stutta - Sick Things [Music Video] @itspressplayent,160,34483,43,313, Music,1460000000,2012-09-17,6,0.4095175366375762,0.4050475028226753,3
45,SARA as INDIAN GIRL  hair & make up tutorial,485,7853,0,27, Howto & Style,617,2013-11-10,5,0.478511444096822,0.3594264497191161,2
46,Tari Jaipongan Siuh.MP4,404,4738,0,5, Entertainment,31000,2011-04-30,3,0.3261979252428783,0.2042700752354189,2
47,HobbyKing Skunkwerks Series - HobbyKing MX2 Turning Trix,151,8749,10,27, Science & Technology,154000,2012-03-28,6,0.381030792030298,0.2887192365259957,2
48,turkish airlines landing adana sakirpasa airport,422,2144,1,6, Travel & Events,67,2010-01-16,4,0.2489708546023382,0.1461977371317012,1
49,Podcast 6 - CBT's Review and Russians Concerns,472,2448,17,61, Gaming,16500,2014-12-06,6,0.5428947801745431,0.3954980642336296,2
50,Talgo Corporate Video (English Version),487,5410,1,15, Autos & Vehicles,170,2008-12-02,3,0.1814589165157253,0.1259700861459156,1
51,"Label No Genre ft. B.o.B x Lin-Z x London Jae ""FLEEK""",201,7775,8,122, People & Blogs,154,2014-12-11,6,0.5437180964926724,0.4572113717046419,3
52,The West Real Estate on Gemmill Homes - The Coronado,172,2935,0,5, Howto & Style,0,2012-05-15,3,0.3889346286843405,0.2321828119806415,2
53,RADEON 7770: Grand Theft Auto V (1080p60FPS!),179,6398,40,81, Gaming,3760,2015-04-26,6,0.5661123003457929,0.4552877070658057,3
54,Guild Wars - New Years Bashtastic 2005,234,2527,3,25, Entertainment,24,2006-11-24,4,0.0597727646961962,0.040488364232704,1
55,world of warcraft,207,4778,2,2, Music,0,2007-02-13,4,0.0731104890498929,0.0427259470606725,1
56,Epson 20 PVC Card Inkjet Printer,228,24017,0,0, Science & Technology,7070,2014-07-15,3,0.5191832702124156,0.3197748568787212,2
57,Crossfire AK-47 [GAMEPLAY],158,1204,5,4, Gaming,18,2010-12-03,3,0.3018277622262473,0.1603993855211481,1
58,ガンダムシリーズ ワールドコレクタブルフィギュアvol 2 Gundam series World Collectable figure,297,4456,0,14, Film & Animation,711000,2015-03-30,6,0.5616663922278939,0.3810457439751593,2
59,vermine  7 ON PSP GO,150,1029,0,1, Comedy,0,2010-02-08,4,0.2527581096657336,0.1177559858139908,1
60,DM'Boys - Dança do verão (Mr.Vee remix),218,10089,1,114, Music,4030,2013-10-09,5,0.4732422196607936,0.4035337411414845,3
61,Gioconda (drum solo) Daniele Trambusti con Louisiana live,469,1455,1,4, Music,149,2010-09-22,3,0.2899720072451836,0.1574518048047933,1
62,Cursos de robótica de Juguetrónica,152,8976,7,30, Gaming,11600,2014-05-12,6,0.5086448213403589,0.3893734044882756,2
63,Matthias Egersdoerfer - über Parteien und wie man wählen geht,288,104474,13,215, Comedy,1170,2009-09-06,4,0.2272353038037214,0.2349447449059052,2
64,Rae vs Liss Funk Locking Final Part 1 @ Express Your Style 2009,228,5571,8,12, Travel & Events,65,2009-05-24,4,0.2099456611230034,0.1434597986192149,1
65,400 sf Women - Finswimming World Championship 2011,407,1648,0,4, Sports,207,2011-08-12,3,0.3433229046599703,0.1890320603958531,1
66,[11/17] - Mussel Shell - Applying Colored Pencils Over Artist Crayons,467,1925,2,3, People & Blogs,3310,2011-04-10,6,0.3229046599703606,0.1764533985337679,1
67,Fotos 2011 - Danke an alle Modelle die mitgearbeitet haben.,128,2097,0,6, Entertainment,49000,2011-11-03,5,0.3569899555409188,0.2091442556239335,2
68,La Laguna di Venezia dall'Elicottero,181,15656,0,67, Travel & Events,42,2013-02-15,4,0.4343816894450848,0.3681157944845795,2
69,Nilpoi - Aun No Es Tiempo Ft. World P & Guido G (Video Maqueta),300,4498,25,42, Music,91,2013-02-22,6,0.435534332290466,0.3237335558477721,2
