,titolo,durata,views,n_comments,n_like,genere,subscribers,publ,max_quality,timedelta,score,class
0,Kinect Sports - Tennis da tavolo Gameplay - Everyeye.it,340,13328,12,11, Gaming,110000,2010-11-11,4,0.2978128597270186,0.2181969964465296,1
1,Pro Skaters at Morrison Hill,210,5664,13,46, Sports,317,2009-07-20,4,0.2190429205722742,0.1673102709688983,0
2,Yiruma-Shining Smile,205,11269,69,46, Music,431,2007-11-03,4,0.1162637724058543,0.0936948000806389,0
3,Guitarras de America (Portafolio),294,3823,6,7, Music,435,2009-07-15,3,0.2182206873869429,0.1378119969701043,0
4,Review of Microsoft Band as a fitness watch,216,5464,4,32, Science & Technology,20200,2014-11-06,6,0.5372471632955106,0.397564768495608,1
5,Black Sabbath - Iron Man @ Hyde Park 04.07.14,399,1639,1,10, Music,961,2014-07-05,6,0.5168557802992929,0.3097169216840691,1
6,NotBad - Intro Scene (One-shot @ 600fps),123,6573,6,111, Sports,20800,2015-01-07,6,0.5474428547936194,0.4521975592205106,2
7,CVPS Cow Power - Renewable energy one cow at a time.,447,6997,0,29, Science & Technology,15,2009-12-22,3,0.2445321493175464,0.183226550172915,0
8,Derrick Rose - Englewood @AintUSpenzo (720 HD),275,3085,4,17, Sports,47,2013-10-23,5,0.4749218878473935,0.3172472416314992,1
9,maxwort spoorthi,275,1527,0,1, People & Blogs,0,2013-02-19,3,0.4344680151290906,0.2131814949607434,1
10,Dancing Fountain at Paseo Del Mar Zamboanga,161,2683,0,6, People & Blogs,0,2012-03-18,4,0.3788850518006906,0.2279815241758505,1
11,Bruno Caboclo Full Summer League Highlights - All Games  - Todos os jogos na Liga de Verão,259,25048,6,62, Sports,738,2014-07-17,4,0.5188291399440882,0.4527462986102875,2
12,Cup 166 - Pottery Wheel Thrown Mug - Getting Larger Every Day,302,1518,2,8, Howto & Style,15000,2011-06-20,5,0.3341555665186647,0.1945709772476642,0
13,Metroid Prime - Phendrana Drift,231,1463,0,7, Music,411,2008-08-25,4,0.1649399769774708,0.094480904338989,0
14,GB Live commentary COD4 #20,335,3353,30,147, Entertainment,10500,2011-02-09,5,0.312613057062983,0.2506879939253161,1
15,Ashley Tisdale - Crank It Up (Official Music Video) HQ,181,95694,0,152, Music,85,2009-10-05,0,0.2317053116263772,0.2337529934427715,1
16,Qual o melhor tipo de ônibus para essa curva?²,250,939712,610,6052, Autos & Vehicles,2030,2013-12-14,4,0.4834731129748397,0.6639997018145407,3
17,BREAKING NEWS -- MAJOR FLARING  -- 10 May 2013,140,2827,46,45, Science & Technology,8920,2013-05-09,5,0.4474592994573261,0.3221841785148,1
18,Botwinka -lekka wiosenna zupa :: Skutecznie.Tv [HD],333,471132,97,3228, Howto & Style,554000,2014-05-09,6,0.5074823219865153,0.656051624048163,3
19,Chorus of the Hebrew Slaves (English) from NABUCCO  ft Trinidad All Stars Steel Orchestra (1994),291,37238,7,89, Music,1090,2009-06-14,3,0.2131228416378885,0.1957926226525727,0
20,garbage musique plus 1998 (only happy when it rains) part 7,267,2076,2,26, Music,215,2008-05-05,4,0.1465219536260483,0.0979617207384805,0
21,Самолёт А-321 вылетает из барнаульского аэропорта,235,19609,6,78, Film & Animation,1140,2013-07-17,5,0.4588061174148988,0.3998499029467469,1
22,真柏盆栽D近2年第三次纏線,302,16554,0,12, People & Blogs,55,2014-11-15,5,0.538727183029107,0.4044826472460906,2
23,pétrir une pâte,207,24334,1,27, Autos & Vehicles,22,2013-01-03,3,0.4267390231869758,0.3504718385989676,1
24,"ALPHA BABA "" Rien Que Pour Toi "" KIZOMBA ( Album ""Inovation"" de SEKOUBA BAMBINO ) CLIP OFFICIEL",230,90232,3,452, Entertainment,4450,2012-11-09,6,0.4176944581483309,0.4476068140510917,2
25,Batman Forever: HBO First Look Part 2,422,49034,65,186, Entertainment,108,2009-02-09,3,0.1925670120046045,0.1887588864213401,0
26,"U2 360 Tour ""Sunday Bloody Sunday"" HD Live from Raymond James Stadium in Tampa  Fl Oct 9 2009",251,2135,1,5, Music,2380,2009-10-10,5,0.2325275448117086,0.1344771436403787,0
27,News: Lego Galaxy Squad Pictures Full Set Exclusive,266,3626,10,19, Entertainment,12000,2012-11-21,5,0.4196678177931261,0.2871860529255211,1
28,Mr. Majestic studio performance feel trapped n so high,178,2856,9,97, Entertainment,538,2012-12-29,6,0.4259167900016444,0.3266350652931202,1
29,World Championships WorldCDF - Martine,256,1083,0,2, Entertainment,94,2011-01-09,4,0.3075152113139286,0.1520580885003724,0
30,SUPAFANTASY ❤  - MISS RIGHT [5to Festival de K-Pop en Chile (NCC)| 130818],245,2635,5,42, Entertainment,502,2013-08-17,5,0.4639039631639532,0.3301176035152831,1
31,Recuerdos de Mi Infancia - Pista para Flauta de pico soprano (Flauta Dulce),122,73215,19,486, Music,2340,2012-03-14,3,0.3782272652524256,0.4021539848052846,2
32,Entries for TheKawaiiCrafting Homemade Squishy Contest ♡,215,6980,36,148, Howto & Style,17300,2014-03-04,6,0.4966288439401414,0.4207162163650427,2
33,Freebird (Acoustic): Mandolin/Recorder Solo,445,3244,4,27, Music,0,2012-06-26,6,0.3953297155073179,0.275974167457977,1
34,Burg Hohenzollern,146,56215,16,236, Travel & Events,1370,2012-04-21,5,0.3844762374609439,0.3856561811337273,1
35,Flavio Gomes - Lada #69,403,7222,5,17, Sports,32,2009-04-10,3,0.2024338102285808,0.1457514001685506,0
36,Empório Mix da Beleza - HAIR ESCOVA ALEMÃ,201,2607,0,4, Howto & Style,334,2011-05-06,4,0.3267554678506824,0.1893179531823886,0
37,Fusión... Capirotada blanca... Parte 3,451,2042,1,11, Howto & Style,19400,2012-04-19,4,0.3841473441868114,0.2373983545318798,1
38,Pink Spotted Goby with Tiger Pistol Shrimp,204,2085,0,6, Pets & Animals,0,2011-02-11,4,0.3129419503371156,0.1834794000426098,0
39,PS3 bricked_NAND SPANSION S29GL128P90TFIR2.mp4,126,2737,1,1, People & Blogs,0,2011-02-08,3,0.3124486104259168,0.1644529001340622,0
40,MONOS MOY TIN PALEPSA  VALADIS OFFICIAL VIDEO CLIP_dnxhd_titles_filler_MP4 480p (16x9).mp4,251,20375,7,110, Music,527,2010-12-16,6,0.3035684920243381,0.2715838299542755,1
41,Stord Parkour  Norway,232,7989,12,39, Sports,214,2012-05-28,4,0.390560763032396,0.3026806875968638,1
